num_game,winners,num_cards_until_end,first_mid
0,"[10, 16]",48,"[12, 20, 21]"
0,[22],48,[10]
0,[1],48,[17]
0,[9],44,"[9, 20]"
0,[0],43,[10]
0,"[10, 18]",49,[18]
0,[19],46,[2]
0,[9],45,[9]
0,[20],43,[17]
0,[16],47,[19]
0,"[11, 21]",44,[11]
0,[6],45,"[1, 2]"
0,[16],40,[15]
0,[21],40,[18]
0,[10],44,[11]
0,[9],43,"[0, 4, 9]"
0,"[0, 21]",46,[1]
0,[17],48,"[7, 16]"
0,[18],46,[10]
0,[4],44,[1]
0,[15],46,[20]
0,[4],43,[4]
0,[21],41,"[12, 13]"
0,[21],45,[22]
0,[22],46,[13]
0,[3],41,[19]
0,"[1, 5]",49,"[11, 16]"
0,[18],45,"[2, 3]"
0,[12],45,"[20, 21]"
0,"[4, 14, 23]",48,[12]
0,[9],43,[17]
0,[23],46,"[11, 19]"
0,[10],45,[6]
0,"[11, 15]",49,[11]
0,[23],48,[2]
0,[23],48,[19]
0,[19],46,"[12, 13]"
0,[10],44,[6]
0,[1],43,"[16, 17]"
0,[22],40,[17]
0,[10],47,[12]
0,[19],46,[23]
0,[12],46,[21]
0,[15],42,[2]
0,[1],48,[17]
0,"[0, 1]",45,[8]
0,"[7, 20]",44,[2]
0,[2],44,[15]
0,"[4, 23]",47,[4]
0,[0],46,[11]
0,[11],44,[5]
0,[20],45,[15]
0,[6],42,[21]
0,[7],50,[22]
0,[1],49,[20]
0,[10],48,[1]
0,[6],46,"[5, 7, 16, 17]"
0,[12],45,"[7, 15]"
0,[20],36,"[10, 14]"
0,[4],40,[14]
0,[3],44,[3]
0,[0],43,[6]
0,[8],47,"[4, 12]"
0,[20],41,[3]
0,[18],45,[6]
0,[2],45,[9]
0,"[12, 23]",44,"[11, 16]"
0,"[2, 19]",48,[19]
0,"[7, 20]",49,[12]
0,[5],43,[16]
0,[13],41,[6]
0,[21],44,[10]
0,"[1, 5, 15]",45,[15]
0,[21],44,"[8, 21]"
0,[5],46,[7]
0,[20],43,[1]
0,[22],38,[0]
0,[6],39,[15]
0,[1],47,[23]
0,[22],42,[0]
0,[4],45,[15]
0,[13],46,[13]
0,[8],43,"[0, 16]"
0,[18],45,[18]
